,ID,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
0,201.0,3.3,0.9,8.6,4.0,2.1,1.8,6.3,41.0,4.5,0.0,1.0,0.0,0.0,2.0
1,202.0,,0.4,,2.5,1.2,1.7,5.2,35.0,3.3,0.0,1.0,0.0,0.0,1.0
2,203.0,3.0,,9.1,7.1,3.5,3.4,,55.0,5.2,0.0,1.0,1.0,0.0,3.0
3,204.0,,1.5,,4.8,1.9,2.5,7.2,36.0,,1.0,0.0,1.0,0.0,1.0
4,205.0,5.1,1.4,,4.8,3.3,2.6,3.8,49.0,4.9,0.0,1.0,0.0,0.0,2.0
5,206.0,4.6,2.1,7.9,5.8,3.4,2.8,4.7,49.0,5.9,0.0,1.0,0.0,1.0,3.0
6,207.0,,1.5,,4.8,1.9,2.5,7.2,36.0,,1.0,0.0,1.0,0.0,1.0
7,208.0,5.2,1.3,9.7,6.1,3.2,3.9,6.7,54.0,5.8,0.0,1.0,0.0,1.0,3.0
8,209.0,3.5,2.8,9.9,3.5,3.1,1.7,5.4,49.0,5.4,0.0,1.0,0.0,1.0,3.0
9,210.0,4.1,3.7,5.9,,,,,,,,0.0,1.0,0.0,2.0
10,211.0,3.0,2.8,7.8,7.1,3.0,3.8,7.9,49.0,4.4,0.0,1.0,1.0,1.0,2.0
11,212.0,4.8,1.7,7.6,4.2,3.3,1.4,5.8,39.0,5.5,0.0,1.0,0.0,0.0,2.0
12,213.0,3.1,,,7.8,3.6,4.0,5.9,43.0,5.2,0.0,1.0,1.0,1.0,2.0
13,214.0,,2.7,5.0,,2.2,,,,3.6,1.0,,1.0,,1.0
14,215.0,4.0,0.5,6.7,4.5,2.2,2.1,5.0,31.0,4.0,0.0,1.0,0.0,1.0,1.0
15,216.0,,1.6,6.4,5.0,,2.1,8.4,25.0,3.4,1.0,0.0,1.0,1.0,1.0
16,217.0,6.1,0.5,9.2,4.8,3.3,2.8,7.1,60.0,5.2,0.0,1.0,0.0,1.0,3.0
17,218.0,,2.8,5.2,5.0,,2.7,8.4,38.0,3.7,1.0,0.0,1.0,0.0,1.0
18,219.0,3.1,2.2,6.7,6.8,2.6,2.9,,,4.3,1.0,0.0,1.0,0.0,1.0
19,220.0,6.5,,9.0,7.0,3.2,3.7,8.0,33.0,5.4,0.0,1.0,0.0,0.0,1.0
20,221.0,,1.6,,4.8,2.0,2.8,,32.0,4.3,0.0,1.0,0.0,0.0,1.0
21,222.0,3.9,2.2,,4.6,,2.5,8.3,47.0,5.0,0.0,1.0,0.0,1.0,2.0
22,223.0,2.8,1.4,8.1,3.8,2.1,1.4,6.6,39.0,4.4,1.0,0.0,1.0,0.0,1.0
23,224.0,,,8.6,5.7,2.7,3.7,6.7,,5.0,0.0,1.0,0.0,1.0,1.0
24,225.0,4.7,1.3,,,3.0,2.6,6.8,54.0,5.9,0.0,1.0,0.0,0.0,3.0
25,226.0,3.4,2.0,9.7,4.7,2.7,1.7,4.8,49.0,4.7,0.0,1.0,0.0,0.0,3.0
26,227.0,3.2,,5.7,5.1,3.6,2.9,6.2,,4.4,0.0,1.0,1.0,1.0,2.0
27,228.0,,1.8,7.7,,3.4,1.5,5.9,40.0,5.6,0.0,1.0,0.0,0.0,2.0
28,229.0,5.3,1.4,9.7,6.1,,3.9,6.8,54.0,5.9,0.0,1.0,0.0,1.0,3.0
29,230.0,4.7,1.3,9.9,6.7,3.0,2.6,6.8,55.0,6.0,0.0,1.0,0.0,0.0,3.0
30,231.0,3.7,0.7,8.2,6.0,2.1,2.5,,41.0,5.0,0.0,1.0,0.0,0.0,2.0
31,232.0,,,8.2,5.0,3.6,2.5,9.0,53.0,5.2,1.0,0.0,1.0,1.0,2.0
32,233.0,4.5,,,5.9,,,8.8,50.0,,1.0,0.0,,0.0,
33,234.0,2.8,2.4,6.7,4.9,2.5,2.6,9.2,32.0,3.7,1.0,0.0,1.0,1.0,1.0
34,235.0,3.8,0.8,8.7,2.9,1.6,,5.6,39.0,,0.0,1.0,0.0,0.0,1.0
35,236.0,2.9,2.6,7.7,7.0,2.8,3.6,7.7,47.0,4.2,0.0,1.0,1.0,1.0,2.0
36,237.0,4.9,,7.4,6.9,4.6,4.0,9.6,62.0,6.2,1.0,0.0,1.0,0.0,2.0
37,238.0,,2.5,9.6,5.5,4.0,3.0,7.7,65.0,6.0,0.0,1.0,0.0,0.0,3.0
38,239.0,4.3,1.8,7.6,5.4,3.1,2.5,4.4,46.0,5.6,0.0,1.0,0.0,1.0,3.0
39,240.0,,1.5,9.9,2.7,1.3,1.2,1.7,50.0,5.0,1.0,0.0,1.0,1.0,2.0
40,241.0,3.1,1.9,,4.5,,3.1,3.8,54.0,4.8,0.0,1.0,0.0,1.0,3.0
41,242.0,5.1,1.9,9.2,5.8,3.6,2.3,4.5,60.0,6.1,0.0,1.0,0.0,0.0,3.0
42,243.0,4.1,1.1,9.3,5.5,2.5,2.7,7.4,47.0,5.3,0.0,1.0,0.0,1.0,3.0
43,244.0,3.0,3.8,5.5,4.9,3.4,2.6,6.0,,4.2,0.0,1.0,1.0,1.0,2.0
44,245.0,,2.0,,4.7,,3.2,,,3.4,1.0,0.0,,1.0,
45,246.0,3.7,1.4,9.0,,2.6,2.3,6.8,45.0,4.9,0.0,1.0,0.0,0.0,2.0
46,247.0,4.2,2.5,9.2,6.2,3.3,3.9,7.3,59.0,6.0,0.0,1.0,0.0,0.0,3.0
47,248.0,,,6.4,5.3,3.0,2.5,7.1,46.0,4.5,1.0,0.0,1.0,0.0,2.0
48,249.0,5.3,,8.5,3.7,3.5,1.9,4.8,58.0,4.3,0.0,1.0,0.0,0.0,3.0
49,250.0,,3.7,,5.2,3.0,2.3,9.1,49.0,4.8,1.0,0.0,1.0,1.0,2.0
50,251.0,3.0,3.2,6.0,5.3,3.1,3.0,8.0,43.0,3.3,1.0,0.0,1.0,0.0,1.0
51,252.0,2.8,3.8,8.9,6.9,3.3,3.2,8.2,53.0,5.0,0.0,1.0,1.0,0.0,3.0
52,253.0,,2.0,9.3,5.9,3.7,2.4,4.6,60.0,6.1,0.0,1.0,0.0,0.0,3.0
53,254.0,3.4,3.7,6.4,5.7,3.5,3.4,8.4,47.0,3.8,1.0,0.0,1.0,0.0,1.0
54,255.0,,1.0,,3.4,1.7,1.1,6.2,35.0,4.1,1.0,0.0,1.0,0.0,1.0
55,256.0,,3.3,7.5,4.5,2.5,2.4,7.6,39.0,3.6,1.0,0.0,1.0,1.0,1.0
56,257.0,3.6,,,5.8,3.7,2.5,9.3,44.0,4.8,1.0,0.0,1.0,1.0,2.0
57,258.0,4.0,0.9,9.1,5.4,2.4,2.6,7.3,46.0,5.1,0.0,1.0,0.0,1.0,3.0
58,259.0,,2.1,6.9,5.4,1.1,2.6,8.9,29.0,3.9,1.0,0.0,1.0,1.0,1.0
59,260.0,,2.0,6.4,4.5,2.1,2.2,8.8,28.0,3.3,1.0,0.0,1.0,1.0,1.0
60,261.0,3.6,,,6.2,4.5,,,,,1.0,,1.0,1.0,2.0
61,262.0,5.6,2.2,8.2,3.1,4.0,1.6,5.3,55.0,3.9,0.0,1.0,0.0,1.0,3.0
62,263.0,3.6,,9.9,,,,,,4.9,,1.0,0.0,0.0,3.0
63,264.0,5.2,1.3,9.1,4.5,3.3,2.7,7.3,60.0,5.1,0.0,1.0,0.0,1.0,3.0
64,265.0,3.0,2.0,6.6,6.6,2.4,2.7,8.2,41.0,4.1,1.0,0.0,1.0,0.0,1.0
65,266.0,4.2,2.4,9.4,4.9,3.2,2.7,8.5,49.0,5.2,0.0,1.0,0.0,1.0,2.0
66,267.0,3.8,0.8,,,2.2,2.6,5.3,42.0,5.1,0.0,1.0,0.0,0.0,2.0
67,268.0,3.3,2.6,9.7,3.3,2.9,1.5,5.2,47.0,,0.0,1.0,0.0,1.0,3.0
68,269.0,,1.9,,4.5,1.5,3.1,9.9,39.0,3.3,1.0,0.0,1.0,1.0,1.0
69,270.0,4.5,1.6,8.7,4.6,3.1,2.1,6.8,56.0,5.1,0.0,1.0,0.0,0.0,3.0
