,Rooms,Price,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Propertycount
0,2.0,1480000.0,2.5,3067.0,2.0,1.0,1.0,202.0,563.9632396062717,1946.2917550219495,-37.7996,144.9984,4019.0
1,2.0,1035000.0,2.5,3067.0,2.0,1.0,0.0,156.0,79.0,1900.0,-37.8079,144.9934,4019.0
2,3.0,1465000.0,2.5,3067.0,3.0,2.0,0.0,134.0,150.0,1900.0,-37.8093,144.9944,4019.0
3,3.0,850000.0,2.5,3067.0,3.0,2.0,1.0,94.0,248.2571341745217,1945.5830040331828,-37.7969,144.9969,4019.0
4,4.0,1600000.0,2.5,3067.0,3.0,1.0,2.0,120.0,142.0,2014.0,-37.8072,144.9941,4019.0
5,2.0,941000.0,2.5,3067.0,2.0,1.0,0.0,181.0,779.2442067470782,1998.1819734593269,-37.8041,144.9953,4019.0
6,3.0,1876000.0,2.5,3067.0,4.0,2.0,0.0,245.0,210.0,1910.0,-37.8024,144.9993,4019.0
7,2.0,1636000.0,2.5,3067.0,2.0,1.0,2.0,256.0,107.0,1890.0,-37.806,144.9954,4019.0
8,1.0,300000.0,2.5,3067.0,1.0,1.0,1.0,0.0,231.6351336871567,1988.4327585199717,-37.8008,144.9973,4019.0
9,2.0,1097000.0,2.5,3067.0,3.0,1.0,2.0,220.0,75.0,1900.0,-37.801,144.9989,4019.0
10,2.0,700000.0,2.5,3067.0,2.0,2.0,1.0,0.0,175.95027683411553,1949.846805302166,-37.811,145.0067,4019.0
11,3.0,1350000.0,2.5,3067.0,3.0,2.0,2.0,214.0,190.0,2005.0,-37.8085,144.9964,4019.0
12,2.0,750000.0,2.5,3067.0,2.0,2.0,1.0,0.0,94.0,2009.0,-37.8078,144.9965,4019.0
13,2.0,1172500.0,2.5,3067.0,2.0,1.0,1.0,195.0,430.9020765774698,2037.2124472777728,-37.8084,144.9973,4019.0
14,1.0,441000.0,2.5,3067.0,1.0,1.0,1.0,0.0,-718.0115867031761,1967.7263430203245,-37.8016,144.9988,4019.0
15,2.0,1310000.0,2.5,3067.0,2.0,1.0,2.0,238.0,97.0,1890.0,-37.809,144.9976,4019.0
16,3.0,1200000.0,2.5,3067.0,3.0,2.0,1.0,113.0,110.0,1880.0,-37.8056,144.993,4019.0
17,3.0,1176500.0,2.5,3067.0,2.0,1.0,1.0,138.0,105.0,1890.0,-37.8021,144.9965,4019.0
18,3.0,955000.0,2.5,3067.0,3.0,1.0,0.0,183.0,-23.975682604506204,1927.125111777213,-37.8022,144.9975,4019.0
19,2.0,890000.0,2.5,3067.0,2.0,1.0,1.0,150.0,73.0,1985.0,-37.8011,145.0004,4019.0
20,4.0,1330000.0,2.5,3067.0,4.0,2.0,2.0,780.0,135.0,1900.0,-37.8073,144.9952,4019.0
21,3.0,900000.0,2.5,3067.0,3.0,2.0,2.0,0.0,-595.9065812700247,2010.0,-37.8093,144.9959,4019.0
22,3.0,1090000.0,2.5,3067.0,3.0,2.0,2.0,4290.0,27.0,1907.6872835418872,-37.8078,144.9965,4019.0
23,2.0,500000.0,2.5,3067.0,2.0,1.0,1.0,0.0,60.0,1970.0,-37.8015,144.9972,4019.0
24,2.0,1100000.0,2.5,3067.0,2.0,2.0,1.0,124.0,135.0,2013.0,-37.8079,144.9977,4019.0
